"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"5353","2015-2016","663905","Kawenni:io/Gaweni:yo High School","Secondary",NA,NA,5,10,5,10,15,"Private"
"5354","2015-2016","663930","Keewaytinook Internet","Secondary",NA,NA,123,138,123,138,261,"Private"
"5355","2015-2016","878529","Kehila Jewish Community Day School","Elementary",14,5,NA,NA,14,5,19,"Private"
"5356","2015-2016","878588","Kempenfelt Bay School","Elementary",54,55,NA,NA,54,55,109,"Private"
"5357","2015-2016","668625","Kendalwood Montessori","Elementary",60,47,NA,NA,60,47,107,"Private"
"5358","2015-2016","665767","Kendelhurst Academy","Elementary",48,45,NA,NA,48,45,93,"Private"
"5359","2015-2016","876569","Kenilworth Krest Parochial School","Elementary",19,16,NA,NA,19,16,35,"Private"
"5360","2015-2016","663654","Kenjgewin Teg","Secondary",NA,NA,5,5,5,5,10,"Private"
"5361","2015-2016","666491","Kennedy Montessori Private School","Elementary",14,16,NA,NA,14,16,30,"Private"
"5362","2015-2016","667656","Kent School","Secondary",NA,NA,24,15,24,15,39,"Private"
"5363","2015-2016","878863","Kew Park Montessori Day School","Elementary",48,42,NA,NA,48,42,90,"Private"
"5364","2015-2016","665365","Khairul Ummah School","Elem/Sec",106,186,NA,31,106,217,323,"Private"
"5365","2015-2016","877352","Khalsa Community School","Elem/Sec",580,488,22,16,602,504,1106,"Private"
"5366","2015-2016","666932","Khalsa School Malton","Elem/Sec",191,148,13,5,204,NA,357,"Private"
"5367","2015-2016","877581","KinderKollege Elementary School","Elementary",10,5,NA,NA,10,5,15,"Private"
"5368","2015-2016","885630","King Christian School","Elementary",67,73,NA,NA,67,73,140,"Private"
"5369","2015-2016","889823","King Heights Academy","Elementary",47,38,NA,NA,47,38,85,"Private"
"5370","2015-2016","889241","King's Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"5371","2015-2016","665398","King's Christian Collegiate","Secondary",NA,NA,334,267,334,267,601,"Private"
"5372","2015-2016","884720","King's Town Private School","Elementary",21,18,NA,NA,21,18,39,"Private"
"5373","2015-2016","885830","Kingdom Covenant Academy","Elem/Sec",5,11,11,5,NA,NA,32,"Private"
"5374","2015-2016","881511","Kingsley Primary School","Elementary",5,13,NA,NA,5,13,18,"Private"
"5375","2015-2016","885657","Kingston Christian School","Elementary",55,43,NA,NA,55,43,98,"Private"
"5376","2015-2016","885959","Kingsway College Private High School","Secondary",NA,NA,114,98,114,98,212,"Private"
"5377","2015-2016","884812","Kingsway College School","Elementary",170,183,NA,NA,170,183,353,"Private"
"5378","2015-2016","669857","Kisomo Learning Centre","Secondary",NA,NA,18,14,18,14,32,"Private"
"5379","2015-2016","887676","Kitchener Waterloo Bilingual School","Elementary",176,194,NA,NA,176,194,370,"Private"
"5380","2015-2016","881708","Kleinburg Christian School","Elementary",74,47,NA,NA,74,47,121,"Private"
"5381","2015-2016","886945","Knowledge Catalyst Education of Excellen","Secondary",NA,NA,5,5,5,5,10,"Private"
"5382","2015-2016","667863","Knox Bridge School","Secondary",NA,NA,14,5,14,5,19,"Private"
"5383","2015-2016","885177","Knox Christian School","Elementary",65,60,NA,NA,65,60,125,"Private"
"5384","2015-2016","880035","Kohai Educational Centre","Elem/Sec",5,5,12,5,NA,5,27,"Private"
"5385","2015-2016","876763","Koinonia Christian Academy","Elementary",29,38,NA,NA,29,38,67,"Private"
"5386","2015-2016","665452","La Citadelle International Academy","Elem/Sec",55,64,5,5,NA,NA,129,"Private"
"5387","2015-2016","884134","La Maison Montessori House","Elementary",27,28,NA,NA,27,28,55,"Private"
"5388","2015-2016","887609","Lakedale Amish Parochial","Elementary",13,17,NA,NA,13,17,30,"Private"
"5389","2015-2016","885371","Lakefield College School","Secondary",NA,NA,199,162,199,162,361,"Private"
"5390","2015-2016","878359","Lakelet Parochial School","Elementary",10,5,NA,NA,10,5,15,"Private"
"5391","2015-2016","880729","Lakeshore School","Elementary",28,17,NA,NA,28,17,45,"Private"
"5392","2015-2016","669546","Lakeside Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5393","2015-2016","887889","Lakeview Christian School","Elem/Sec",18,10,5,5,NA,NA,38,"Private"
"5394","2015-2016","880256","Lakeview Montessori School","Elementary",56,45,NA,NA,56,45,101,"Private"
"5395","2015-2016","666076","Langside Parochial","Elementary",14,10,NA,NA,14,10,24,"Private"
"5396","2015-2016","885783","Laureate International College","Secondary",NA,NA,12,5,12,5,17,"Private"
"5397","2015-2016","887897","Laurentian Hills Christian School","Elementary",173,157,NA,NA,173,157,330,"Private"
"5398","2015-2016","889281","Le Cercle des savoirs","Elem/Sec",5,5,5,5,10,5,20,"Private"
"5399","2015-2016","880502","Leahurst College","Elem/Sec",16,11,22,23,38,34,72,"Private"
"5400","2015-2016","668116","Learning Firm, The","Secondary",NA,NA,5,5,5,5,10,"Private"
"5401","2015-2016","885331","Learning Genius Academy Inc","Secondary",NA,NA,29,22,29,22,51,"Private"
"5402","2015-2016","878332","Lee Academy Private Elementary School","Elementary",75,73,NA,NA,75,73,148,"Private"
"5403","2015-2016","876860","Lennox & Addington Cornerstone Christian","Elementary",16,25,NA,NA,16,25,41,"Private"
"5404","2015-2016","886769","Leo Baeck Day School, The","Elementary",435,387,NA,NA,435,387,822,"Private"
"5405","2015-2016","882909","Leonardo Da Vinci Academy of Arts and","Elementary",31,42,NA,NA,31,42,73,"Private"
"5406","2015-2016","669031","Life Christian Academy Private School","Elem/Sec",5,5,25,5,NA,5,40,"Private"
"5407","2015-2016","877158","Lilac Grove School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5408","2015-2016","883704","Linbrook School","Elementary",126,NA,NA,NA,126,NA,126,"Private"
"5409","2015-2016","886947","Lindale Parochial School","Elementary",23,12,NA,NA,23,12,35,"Private"
"5410","2015-2016","876186","Linden School, The","Elem/Sec",NA,53,NA,39,NA,92,92,"Private"
"5411","2015-2016","665758","Link On Learning","Elementary",85,164,NA,NA,85,164,249,"Private"
"5412","2015-2016","888923","Listowel Christian School","Elementary",81,50,NA,NA,81,50,131,"Private"
"5413","2015-2016","665757","Little Country School, The","Elementary",5,5,NA,NA,5,5,10,"Private"
"5414","2015-2016","884176","Little House Montessori School","Elementary",20,30,NA,NA,20,30,50,"Private"
"5415","2015-2016","889201","Little Owl Preschool Elementary","Elementary",26,22,NA,NA,26,22,48,"Private"
"5416","2015-2016","883879","Living Hope Christian School","Elem/Sec",31,39,NA,NA,31,39,70,"Private"
"5417","2015-2016","669329","Lolart School","Secondary",NA,NA,5,5,5,5,10,"Private"
"5418","2015-2016","885746","London Christian Elementary School","Elementary",100,88,NA,NA,100,88,188,"Private"
"5419","2015-2016","887404","London Community Hebrew Day School","Elementary",23,21,NA,NA,23,21,44,"Private"
"5420","2015-2016","885738","London District Christian","Secondary",NA,NA,151,104,151,104,255,"Private"
"5421","2015-2016","666947","London International Academy","Secondary",NA,NA,365,304,365,304,669,"Private"
"5422","2015-2016","877557","London Islamic School","Elementary",156,177,NA,NA,156,177,333,"Private"
"5423","2015-2016","881120","London Waldorf School","Elementary",67,62,NA,NA,67,62,129,"Private"
"5424","2015-2016","885067","Lote tree Foundation","Elementary",37,34,NA,NA,37,34,71,"Private"
"5425","2015-2016","666858","Lutherwood Parochial School","Elementary",16,15,NA,NA,16,15,31,"Private"
"5426","2015-2016","888117","Lycée Claudel","Elem/Sec",372,357,146,132,518,489,1007,"Private"
"5427","2015-2016","877018","Lycée Français de Toronto","Elem/Sec",176,201,58,54,234,255,489,"Private"
"5428","2015-2016","663573","Lydia Lois Beardy Memorial","Elem/Sec",NA,NA,5,11,5,11,16,"Private"
"5429","2015-2016","878014","Lynn-Rose Heights Private School - Elem","Elementary",114,97,NA,NA,114,97,211,"Private"
"5430","2015-2016","880155","MAC Al-Furqan School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5431","2015-2016","665027","MAC Maple Grove School","Elementary",104,109,NA,NA,104,109,213,"Private"
"5432","2015-2016","881090","Mabin School, The","Elementary",79,66,NA,NA,79,66,145,"Private"
"5433","2015-2016","881298","MacLachlan College","Elem/Sec",84,63,58,32,142,95,237,"Private"
"5434","2015-2016","875341","Macdonald-Cartier Academy","Elementary",27,32,NA,NA,27,32,59,"Private"
"5435","2015-2016","665743","Machon Sarah High School","Secondary",NA,NA,NA,5,NA,5,5,"Private"
"5436","2015-2016","887722","Macton Parochial School","Elementary",11,27,NA,NA,11,27,38,"Private"
"5437","2015-2016","668301","Madaniyya Academy","Elementary",34,11,NA,NA,34,11,45,"Private"
"5438","2015-2016","667977","Madina Academy","Secondary",NA,NA,21,15,21,15,36,"Private"
"5439","2015-2016","666544","Madinah Islamic School","Elementary",51,36,NA,NA,51,36,87,"Private"
"5440","2015-2016","882911","Madinatul Uloom Academy - Scarborough","Elem/Sec",85,NA,37,NA,122,NA,122,"Private"
"5441","2015-2016","877492","Madinatul-Uloom Academy","Elem/Sec",68,220,NA,87,68,307,375,"Private"
"5442","2015-2016","876259","Madresatul Banaat Almuslimaat","Elem/Sec",36,226,NA,71,36,297,333,"Private"
"5443","2015-2016","668504","Magnificent Minds","Elementary",14,5,NA,NA,14,5,19,"Private"
"5444","2015-2016","665700","Maingate Islamic Academy","Elementary",82,90,NA,NA,82,90,172,"Private"
"5445","2015-2016","669285","Makki Islamic Learning Centre","Elementary",118,156,NA,NA,118,156,274,"Private"
"5446","2015-2016","883812","Malvern Montessori School","Elementary",24,5,NA,NA,24,5,29,"Private"
"5447","2015-2016","667528","Mamawmatawa Holistic Education Centre","Secondary",NA,NA,29,29,29,29,58,"Private"
"5448","2015-2016","877859","Manor Montessori School","Elementary",14,5,NA,NA,14,5,19,"Private"
"5449","2015-2016","665008","Maple Crest Early School Ltd.","Elementary",5,5,NA,NA,5,5,10,"Private"
"5450","2015-2016","885665","Maple Drive Parochial","Elementary",15,16,NA,NA,15,16,31,"Private"
"5451","2015-2016","877905","Maple Grove Amish Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5452","2015-2016","887730","Maple Grove Parochial","Elementary",21,10,NA,NA,21,10,31,"Private"
"5453","2015-2016","665776","Maple Grove Parochial School","Elementary",10,11,NA,NA,10,11,21,"Private"
"5454","2015-2016","885156","Maple Lane","Elementary",5,5,NA,NA,5,5,10,"Private"
"5455","2015-2016","888206","Maple Lane Private","Elementary",5,10,NA,NA,5,10,15,"Private"
"5456","2015-2016","884710","Maple Leaf Collegiate","Secondary",NA,NA,14,5,14,5,19,"Private"
"5457","2015-2016","879177","Maple Leaf International School","Secondary",NA,NA,83,65,83,65,148,"Private"
"5458","2015-2016","884375","Maple Leaf Montessori School Inc","Elementary",39,40,NA,NA,39,40,79,"Private"
"5459","2015-2016","883140","Maple View Parochial School","Elementary",15,14,NA,NA,15,14,29,"Private"
"5460","2015-2016","883498","Mapleton Meadow Parochial School","Elementary",20,18,NA,NA,20,18,38,"Private"
"5461","2015-2016","889717","Mapleview","Elem/Sec",17,5,5,5,NA,11,32,"Private"
"5462","2015-2016","877646","Maranatha Christian Academy","Elementary",26,23,NA,NA,26,23,49,"Private"
"5463","2015-2016","883590","Maranatha Christian Academy","Elem/Sec",107,99,37,37,144,136,280,"Private"
"5464","2015-2016","882271","Maranatha Christian Day School","Elem/Sec",40,30,5,5,NA,NA,80,"Private"
"5465","2015-2016","888338","Maranatha Christian School","Elementary",102,109,NA,NA,102,109,211,"Private"
"5466","2015-2016","666556","March Academy Private School","Elementary",21,5,NA,NA,21,5,26,"Private"
"5467","2015-2016","884740","Maria Montessori School Inc.","Elementary",57,56,NA,NA,57,56,113,"Private"
"5468","2015-2016","668779","Marigold Hollow Parochial School","Elementary",16,5,NA,NA,16,5,21,"Private"
"5469","2015-2016","880032","Mariyah Islamic School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5470","2015-2016","881380","Markham International College","Secondary",NA,NA,5,5,5,5,10,"Private"
"5471","2015-2016","881803","Markville Montessori Private School","Elementary",11,15,NA,NA,11,15,26,"Private"
"5472","2015-2016","884618","Marlborough Academy","Elem/Sec",5,5,NA,5,5,5,15,"Private"
"5473","2015-2016","884120","Martello Enrichment School Inc","Elementary",29,27,NA,NA,29,27,56,"Private"
"5474","2015-2016","876160","Mary, Mother of God School","Elem/Sec",37,34,5,10,NA,44,86,"Private"
"5475","2015-2016","668870","Maryvale Academy of Ottawa","Elementary",31,30,NA,NA,31,30,61,"Private"
"5476","2015-2016","888751","Matawa Learning Centre Private School","Secondary",NA,NA,19,24,19,24,43,"Private"
"5477","2015-2016","665181","Matrix Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"5478","2015-2016","885754","Matthews Hall","Elementary",143,101,NA,NA,143,101,244,"Private"
"5479","2015-2016","876674","McDonald International Academy","Secondary",NA,NA,107,70,107,70,177,"Private"
"5480","2015-2016","886037","McDonald International Academy-North Yo","Secondary",NA,NA,NA,5,NA,5,5,"Private"
"5481","2015-2016","668558","McIntosh Valley","Elementary",5,5,NA,NA,5,5,10,"Private"
"5482","2015-2016","665168","Meadow Cress School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5483","2015-2016","877409","Meadow Green Academy","Elementary",34,24,NA,NA,34,24,58,"Private"
"5484","2015-2016","881969","Meadow Green Academy - Lakeshore","Elem/Sec",28,25,5,5,NA,NA,63,"Private"
"5485","2015-2016","668775","Meadow View Private","Elementary",13,11,NA,NA,13,11,24,"Private"
"5486","2015-2016","884428","Meezan School","Elementary",40,39,NA,NA,40,39,79,"Private"
"5487","2015-2016","882291","Mentor College","Elem/Sec",259,188,360,292,619,480,1099,"Private"
"5488","2015-2016","667590","Mentor College Primary Campus","Elementary",149,135,NA,NA,149,135,284,"Private"
"5489","2015-2016","668578","Merit College","Secondary",NA,NA,19,5,19,5,24,"Private"
"5490","2015-2016","882521","Mesivta Ohr Temimim Lubavitch","Secondary",NA,NA,12,NA,12,NA,12,"Private"
"5491","2015-2016","877654","Metamorphosis Greek Orthodox School","Elementary",128,111,NA,NA,128,111,239,"Private"
"5492","2015-2016","886696","Metro International Secondary Academy","Secondary",NA,NA,13,10,13,10,23,"Private"
"5493","2015-2016","665539","Metropolitan College","Secondary",NA,NA,5,5,5,5,10,"Private"
"5494","2015-2016","882070","Metropolitan Preparatory Academy","Elem/Sec",12,5,91,57,103,NA,165,"Private"
"5495","2015-2016","665576","Middlebrook Parochial School","Elementary",15,21,NA,NA,15,21,36,"Private"
"5496","2015-2016","663375","Migizi Miigwanan Secondary School","Secondary",NA,NA,26,27,26,27,53,"Private"
"5497","2015-2016","663697","Mikinaak Onigaming School","Elem/Sec",NA,NA,16,18,16,18,34,"Private"
"5498","2015-2016","887964","Mildenhall School, The","Elementary",48,39,NA,NA,48,39,87,"Private"
"5499","2015-2016","886543","Milton Christian School","Elementary",58,53,NA,NA,58,53,111,"Private"
"5500","2015-2016","666408","MindTech Academic Schools, Inc","Elementary",97,66,NA,NA,97,66,163,"Private"
"5501","2015-2016","666635","Mindtech Montessori Schools","Elementary",25,21,NA,NA,25,21,46,"Private"
"5502","2015-2016","878286","Mindtech Montessori Schools","Elementary",25,15,NA,NA,25,15,40,"Private"
"5503","2015-2016","668579","Mindview Academy Site","Secondary",NA,NA,5,5,5,5,10,"Private"
