"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"3765","2019-2020","666543","YMCA Academy","Elem/Sec",5,5,40,20,NA,NA,70
"3766","2019-2020","884365","YYZ Academy","Secondary",NA,NA,5,5,NA,NA,10
"3767","2019-2020","887625","Yatton Mennonite Parochial School","Elementary",20,15,NA,NA,20,15,35
"3768","2019-2020","882755","Yeshiva Bnei Zion of Toronto","Elementary",150,NA,NA,NA,150,NA,150
"3769","2019-2020","665282","Yeshiva Darchei Torah Private High Schoo","Secondary",NA,NA,85,NA,85,NA,85
"3770","2019-2020","884928","Yeshiva Gedolah of Toronto","Secondary",NA,NA,75,NA,75,NA,75
"3771","2019-2020","887633","Yeshiva Yesodei Hatorah","Elementary",655,NA,NA,NA,655,NA,655
"3772","2019-2020","666122","Yeshivas Nefesh Dovid","Secondary",NA,NA,5,NA,NA,NA,5
"3773","2019-2020","879398","Yinghua - Bond International College","Secondary",NA,NA,75,75,75,75,150
"3774","2019-2020","880132","York School, The","Elem/Sec",95,85,155,135,250,220,470
"3775","2019-2020","881483","Yorkdale Academy","Elem/Sec",5,5,NA,NA,NA,NA,10
"3776","2019-2020","884012","Yorkland High School","Secondary",NA,NA,65,35,65,35,100
"3777","2019-2020","884778","Z3 Education Centre","Elem/Sec",5,5,5,5,10,NA,20
"3778","2019-2020","663735","Zhingwaako Za'iganing School","Elem/Sec",NA,NA,5,5,NA,NA,10
"3779","2019-2020","669838","Zoe Christian Academy","Elem/Sec",5,5,5,5,NA,NA,20
"3780","2019-2020","884310","uStudy Learning Center","Secondary",NA,NA,10,5,10,NA,15
"3781","2019-2020","882721","École Notre-Dame du Mont Carmel","Elem/Sec",45,35,5,5,NA,NA,90
"3782","2019-2020","667293","École lbn Batouta","Elem/Sec",35,25,5,NA,NA,25,65
"3783","2014-2015","882408","3sixty Education","Secondary",NA,NA,5,5,5,5,10
"3784","2014-2015","880655","A R S Armenian Private School","Elem/Sec",187,189,47,46,234,235,469
"3785","2014-2015","885186","A+ Academy of Advancement","Secondary",NA,NA,19,5,19,5,24
"3786","2014-2015","669367","A21 Academy","Elementary",25,5,NA,NA,25,5,30
"3787","2014-2015","877417","ABC Montessori Private School","Elementary",53,41,NA,NA,53,41,94
"3788","2014-2015","884091","ACE Acumen High School","Secondary",NA,NA,5,5,5,5,10
"3789","2014-2015","665260","ADE SCHOOLS","Elem/Sec",NA,NA,5,5,5,5,10
"3790","2014-2015","879231","AFNORTH International School","Secondary",NA,NA,21,5,21,5,26
"3791","2014-2015","669111","Abacus Montessori & Private School","Elementary",5,5,NA,NA,5,5,10
"3792","2014-2015","877808","Abelard Centre for Education, The","Secondary",NA,NA,21,20,21,20,41
"3793","2014-2015","665161","Above and Beyond Learning Experience Inc","Elem/Sec",5,5,5,5,10,10,20
"3794","2014-2015","878987","Abraar","Elem/Sec",209,254,22,18,231,272,503
"3795","2014-2015","669906","Abu Huraira Islamic School","Elementary",5,5,NA,NA,5,5,10
"3796","2014-2015","668358","Acacia International High School","Secondary",NA,NA,5,5,5,5,10
"3797","2014-2015","885545","Academic Vision","Secondary",NA,NA,5,5,5,5,10
"3798","2014-2015","876330","Academy for Gifted Children, The (PACE)","Elem/Sec",126,107,41,29,167,136,303
"3799","2014-2015","883027","Academy of Excellence","Secondary",NA,NA,15,5,15,5,20
"3800","2014-2015","668763","Academy of Learning College","Elem/Sec",5,5,5,5,12,5,20
"3801","2014-2015","668977","Academy of Math and English","Secondary",NA,NA,5,15,5,15,20
"3802","2014-2015","666548","Académie Providence Soeurs Antonines","Elementary",35,46,NA,NA,35,46,81
"3803","2014-2015","876275","Académie Ste Cécile International","Elem/Sec",77,68,72,74,149,142,291
"3804","2014-2015","878731","Académie de la Capitale","Elem/Sec",25,26,5,5,NA,NA,61
"3805","2014-2015","884408","Acheron College (Beaver Creek/Fenbrook)","Secondary",NA,NA,278,5,278,5,283
"3806","2014-2015","880977","Acheron College (Collins Bay)","Secondary",NA,NA,245,5,245,5,250
"3807","2014-2015","669520","Acheron College (Grand Valley)","Secondary",NA,NA,NA,68,NA,68,68
"3808","2014-2015","881692","Acheron College (Joyceville/Pittsburgh)","Secondary",NA,NA,164,NA,164,NA,164
"3809","2014-2015","667407","Acheron College (Millhaven/Bath)","Secondary",NA,NA,245,NA,245,NA,245
"3810","2014-2015","881407","Acheron College (Warkworth)","Secondary",NA,NA,140,NA,140,NA,140
"3811","2014-2015","877514","Adelfiha's Christian Academy","Elementary",5,5,NA,NA,5,5,10
"3812","2014-2015","663832","Adults in Motion Private School","Secondary",NA,NA,5,15,5,15,20
"3813","2014-2015","666980","Advanced Academy","Secondary",NA,NA,5,10,5,10,15
"3814","2014-2015","665717","Adventist Christian Elementary School","Elementary",15,11,NA,NA,15,11,26
"3815","2014-2015","667455","Afzal Islamic Montessori & Academy","Elementary",22,12,NA,NA,22,12,34
"3816","2014-2015","875546","Agate Private School","Elem/Sec",5,5,5,5,5,5,20
"3817","2014-2015","878456","Agincourt Montessori School Inc","Elementary",5,5,NA,NA,5,5,10
"3818","2014-2015","663689","Aglace Chapman Education Centre","Elem/Sec",NA,NA,13,15,13,15,28
"3819","2014-2015","665991","Ahlul Bayt Islamic School","Elementary",55,84,NA,NA,55,84,139
"3820","2014-2015","877760","Al Azhar Islamic School","Elementary",13,32,NA,NA,13,32,45
"3821","2014-2015","881297","Al Furqan School","Elementary",14,11,NA,NA,14,11,25
"3822","2014-2015","669831","Al Huda Elementary School","Elementary",51,65,NA,NA,51,65,116
"3823","2014-2015","887920","Al-Azhar Academy of Canada","Elementary",61,51,NA,NA,61,51,112
"3824","2014-2015","878472","Al-Falah Islamic","Elementary",107,138,NA,NA,107,138,245
"3825","2014-2015","667583","Al-Hidayah Academy Inc","Elementary",30,15,NA,NA,30,15,45
"3826","2014-2015","878090","Al-Hijra","Elementary",127,125,NA,NA,127,125,252
"3827","2014-2015","886011","Al-Ikhlaas Foundation School","Elem/Sec",55,35,28,42,83,77,160
"3828","2014-2015","876585","Al-Iman School","Elementary",17,17,NA,NA,17,17,34
"3829","2014-2015","876003","Al-Madrasah Al-Inamiyyah Private School","Elem/Sec",5,NA,12,NA,NA,NA,17
"3830","2014-2015","667550","Al-Rassool Islamic School","Elementary",27,32,NA,NA,27,32,59
"3831","2014-2015","665670","Al-Risala Academy","Elem/Sec",28,37,38,35,66,72,138
"3832","2014-2015","668290","Al-Taqwa Elementary School","Elementary",73,81,NA,NA,73,81,154
"3833","2014-2015","665037","Al-Taqwa Islamic Private School","Secondary",NA,NA,24,26,24,26,50
"3834","2014-2015","882776","Alathena International - North York","Secondary",NA,NA,14,10,14,10,24
"3835","2014-2015","887542","Alathena International - Richmond Hill","Secondary",NA,NA,103,78,103,78,181
"3836","2014-2015","669761","Alathena International Academy","Secondary",NA,NA,30,19,30,19,49
"3837","2014-2015","885126","Albert College","Elem/Sec",59,68,74,78,133,146,279
"3838","2014-2015","666998","Alborz Education Centre","Secondary",NA,NA,36,27,36,27,63
"3839","2014-2015","668657","Algonquin Academy","Elem/Sec",NA,NA,5,NA,5,NA,5
"3840","2014-2015","887189","Alive Christian Academy International","Elem/Sec",5,NA,NA,5,5,5,10
"3841","2014-2015","883467","Alive Montessori & Private School","Elementary",5,5,NA,NA,5,5,10
"3842","2014-2015","669784","All Nations Academy","Secondary",NA,NA,5,5,5,5,10
"3843","2014-2015","884502","All Saints Montessori","Elementary",33,28,NA,NA,33,28,61
"3844","2014-2015","666085","Alliance Coaching Academy","Secondary",NA,NA,23,18,23,18,41
"3845","2014-2015","881724","Alliston Community Christian School","Elementary",36,27,NA,NA,36,27,63
"3846","2014-2015","882302","Alpha Quality Education Inc","Secondary",NA,NA,5,5,5,5,10
"3847","2014-2015","880653","Alpha Star High School","Secondary",NA,NA,5,5,5,5,10
"3848","2014-2015","882652","Amanah Academy North America Foundation","Elem/Sec",81,82,19,20,100,102,202
"3849","2014-2015","669258","Ambassadors Christian School","Elementary",10,5,NA,NA,10,5,15
"3850","2014-2015","667063","Amberson College","Secondary",NA,NA,33,18,33,18,51
"3851","2014-2015","887447","Amish Parochial School #1","Elementary",17,13,NA,NA,17,13,30
"3852","2014-2015","887846","Amish Parochial School #2","Elementary",13,26,NA,NA,13,26,39
"3853","2014-2015","887854","Amish Parochial School #3","Elementary",17,18,NA,NA,17,18,35
"3854","2014-2015","887706","Amish Parochial School #4","Elementary",17,16,NA,NA,17,16,33
"3855","2014-2015","889687","Amish Parochial School #5","Elementary",14,12,NA,NA,14,12,26
"3856","2014-2015","882631","Amish Parochial School #6","Elementary",5,5,NA,NA,5,5,10
"3857","2014-2015","876364","Amish Parochial School #7","Elementary",13,17,NA,NA,13,17,30
"3858","2014-2015","665285","Amish Parochial school #8","Elementary",19,11,NA,NA,19,11,30
"3859","2014-2015","877115","An-Noor Private School","Elementary",110,154,NA,NA,110,154,264
"3860","2014-2015","875953","Angel Academy Montessori School","Elementary",33,29,NA,NA,33,29,62
"3861","2014-2015","885030","Annex Montessori","Elementary",10,11,NA,NA,10,11,21
"3862","2014-2015","886428","Apollo High School","Secondary",NA,NA,5,NA,5,NA,5
"3863","2014-2015","885924","Appleby College","Elem/Sec",66,49,346,299,412,348,760
"3864","2014-2015","666009","Applewood Academy","Elementary",5,5,NA,NA,5,5,10
"3865","2014-2015","882456","Applewood Academy and Daycare","Elementary",25,12,NA,NA,25,12,37
"3866","2014-2015","666599","Aristotele's Credit School","Secondary",NA,NA,56,75,56,75,131
"3867","2014-2015","880779","Arrowsmith School","Elem/Sec",25,14,20,13,45,27,72
"3868","2014-2015","668374","Arrowsmith School Peterborough","Elem/Sec",11,5,14,5,25,11,35
"3869","2014-2015","665378","Arthur Christian School","Elem/Sec",50,49,5,5,NA,NA,109
"3870","2014-2015","667420","Arts and Science Academy of Canada","Elem/Sec",5,5,NA,5,5,13,15
"3871","2014-2015","876798","As-Sadiq Islamic","Elem/Sec",231,296,NA,NA,231,296,527
"3872","2014-2015","886297","Ashbury College","Elem/Sec",91,81,289,227,380,308,688
"3873","2014-2015","881217","Ashraf Academy","Elem/Sec",5,5,10,19,NA,NA,39
"3874","2014-2015","881729","Aspiration Academy","Elementary",5,5,NA,NA,5,5,10
"3875","2014-2015","887315","Associated Hebrew Schools of Toronto","Elementary",484,471,NA,NA,484,471,955
"3876","2014-2015","889156","Associated Hebrew Schools of Toronto","Elementary",213,193,NA,NA,213,193,406
"3877","2014-2015","666610","Astolot Education Centre","Elem/Sec",20,5,5,5,NA,11,35
"3878","2014-2015","877212","Attercliffe Canadian Reformed Elementary","Elementary",68,73,NA,NA,68,73,141
"3879","2014-2015","884995","Aurora Montessori School","Elementary",160,147,NA,NA,160,147,307
"3880","2014-2015","666815","Avalon Children's Montessori School","Elementary",30,37,NA,NA,30,37,67
"3881","2014-2015","667321","Avenue Road Academy","Secondary",NA,NA,11,5,11,5,16
"3882","2014-2015","663581","Baibombeh Anishinabe School","Elem/Sec",NA,NA,47,34,47,34,81
"3883","2014-2015","885730","Baig Academy","Secondary",NA,NA,5,5,5,5,10
"3884","2014-2015","889107","Bais Bracha Elementary School","Elementary",NA,161,NA,NA,NA,161,161
"3885","2014-2015","877662","Bais Chaya Mushka","Elementary",NA,227,NA,NA,NA,227,227
"3886","2014-2015","878774","Bais Chomesh High School for Girls","Secondary",NA,NA,NA,80,NA,80,80
"3887","2014-2015","888486","Bais Yaakov Elementary School","Elementary",NA,756,NA,NA,NA,756,756
"3888","2014-2015","887583","Baitul Mukarram Academy - Boys Section","Elementary",12,12,NA,NA,12,12,24
"3889","2014-2015","887316","Balanced Education Network B.E.N. School","Elementary",5,10,NA,NA,5,10,15
"3890","2014-2015","887463","Balsam Grove Parochial","Elementary",15,21,NA,NA,15,21,36
"3891","2014-2015","876135","Bannockburn School","Elementary",22,30,NA,NA,22,30,52
"3892","2014-2015","883576","Barrie Montessori & Elementary Private S","Elementary",27,25,NA,NA,27,25,52
"3893","2014-2015","663670","Batchewana Learning Centre","Secondary",NA,NA,95,94,95,94,189
"3894","2014-2015","881988","Bayfield School","Elem/Sec",18,5,58,5,76,5,86
"3895","2014-2015","887188","Bayview Glen","Elem/Sec",124,118,173,137,297,255,552
"3896","2014-2015","884645","Bayview Glen (Elementary)","Elementary",216,208,NA,NA,216,208,424
"3897","2014-2015","880927","Beacon Baptist School","Elem/Sec",5,5,5,NA,5,5,15
"3898","2014-2015","886319","Beacon Christian Elementary School","Elementary",85,83,NA,NA,85,83,168
"3899","2014-2015","666670","Beacon House International College","Elem/Sec",NA,NA,18,5,18,5,23
"3900","2014-2015","882297","Beaconhouse Academy","Elem/Sec",NA,NA,5,5,5,5,10
"3901","2014-2015","884634","Beaver Valley Parochial School","Elementary",17,12,NA,NA,17,12,29
"3902","2014-2015","668367","Beaverbrook Math Academy","Secondary",NA,NA,5,5,5,5,10
"3903","2014-2015","887455","Beechvale Parochial School","Elementary",5,5,NA,NA,5,5,10
"3904","2014-2015","666432","Behaviour Innovations, Children's Colleg","Elementary",5,5,NA,NA,5,5,10
"3905","2014-2015","886521","Belleville District Christian School","Elementary",51,43,NA,NA,51,43,94
"3906","2014-2015","886209","Belleville Montessori School","Elementary",16,5,NA,NA,16,5,21
"3907","2014-2015","667602","Berean Baptist Church and Academy","Elem/Sec",15,11,NA,5,15,NA,31
"3908","2014-2015","887196","Beth Jacob Private School","Secondary",NA,NA,NA,220,NA,220,220
"3909","2014-2015","889024","Bethel Baptist Academy","Elem/Sec",5,5,5,5,17,10,20
"3910","2014-2015","667698","Beyond Montessori School Inc.","Elementary",19,19,NA,NA,19,19,38
"3911","2014-2015","887200","Bialik Hebrew Day School","Elementary",469,457,NA,NA,469,457,926
"3912","2014-2015","884706","Bibleway Ministries Christian Learning C","Elem/Sec",5,5,5,NA,5,5,15
"3913","2014-2015","663582","Bimose Community High School","Secondary",NA,NA,14,5,14,5,19
"3914","2014-2015","885865","Birchas Shmuel","Secondary",NA,NA,19,NA,19,NA,19
"3915","2014-2015","668260","Birmingham International College of Can","Secondary",NA,NA,48,43,48,43,91
"3916","2014-2015","883808","Bishop Hamilton Montessori School","Elementary",69,58,NA,NA,69,58,127
"3917","2014-2015","886840","Bishop Strachan School, The","Elem/Sec",NA,416,NA,483,NA,899,899
"3918","2014-2015","668131","Black Creek Parochial","Elementary",19,5,NA,NA,19,5,24
"3919","2014-2015","888893","Blaisdale Montessori","Elementary",531,606,NA,NA,531,606,1137
"3920","2014-2015","884414","Blue Gene Education","Secondary",NA,NA,5,5,5,5,10
"3921","2014-2015","885589","Blyth Academy - Barrie","Elem/Sec",5,5,20,16,NA,NA,46
"3922","2014-2015","887422","Blyth Academy - Burlington","Elem/Sec",10,5,48,12,58,NA,75
"3923","2014-2015","669196","Blyth Academy - Lawrence Park East","Secondary",NA,NA,5,5,5,5,10
"3924","2014-2015","883574","Blyth Academy - Lawrence Park West","Secondary",NA,NA,79,71,79,71,150
"3925","2014-2015","668286","Blyth Academy - London","Secondary",NA,NA,47,15,47,15,62
"3926","2014-2015","885785","Blyth Academy - London Elementary","Elementary",14,NA,NA,NA,14,NA,14
"3927","2014-2015","885121","Blyth Academy - Ottawa","Secondary",NA,NA,42,23,42,23,65
"3928","2014-2015","666899","Blyth Academy - Whitby","Elem/Sec",5,5,34,16,NA,NA,60
"3929","2014-2015","883890","Blyth Academy Mississauga - Adamson","Secondary",NA,NA,40,34,40,34,74
"3930","2014-2015","882941","Blyth Academy Mississauga - Cawthra","Elem/Sec",5,NA,10,5,NA,5,20
"3931","2014-2015","666143","Blyth Academy Thornhill","Secondary",NA,NA,29,24,29,24,53
"3932","2014-2015","666580","Blyth Academy Yorkville","Secondary",NA,NA,121,124,121,124,245
"3933","2014-2015","888885","Bnei Akiva School - Ulpanat Orot","Secondary",NA,NA,NA,101,NA,101,101
"3934","2014-2015","883749","Bnei Akiva School - Yeshivat Or Chaim","Secondary",NA,NA,97,NA,97,NA,97
"3935","2014-2015","878766","Bnos Bais Yaakov High School","Secondary",NA,NA,NA,75,NA,75,75
"3936","2014-2015","665690","Bond Academy","Elem/Sec",76,60,18,5,94,NA,159
"3937","2014-2015","883417","Bond International College","Secondary",NA,NA,188,129,188,129,317
"3938","2014-2015","881534","Bonnechere Valley","Elementary",5,15,NA,NA,5,15,20
"3939","2014-2015","879363","Boren Sino-Canadian School","Secondary",NA,NA,106,92,106,92,198
"3940","2014-2015","882190","Brackendale Montessori","Elementary",63,42,NA,NA,63,42,105
"3941","2014-2015","876909","Braemar College","Secondary",NA,NA,112,102,112,102,214
"3942","2014-2015","877450","Braemar House School","Elementary",60,61,NA,NA,60,61,121
"3943","2014-2015","669461","Brainiacs Academy","Secondary",NA,NA,5,5,5,5,10
"3944","2014-2015","889814","Brampton Christian School","Elem/Sec",155,163,102,82,257,245,502
"3945","2014-2015","668278","Brampton-Georgetown Montessori","Elementary",5,5,NA,NA,5,5,10
"3946","2014-2015","886912","Branksome Hall","Elem/Sec",NA,453,NA,445,NA,898,898
"3947","2014-2015","668732","Brant Hills Collegiate","Secondary",NA,NA,19,17,19,17,36
"3948","2014-2015","885193","Brantford Christian School","Elementary",96,98,NA,NA,96,98,194
"3949","2014-2015","665667","Brentway Academy Inc","Elementary",16,18,NA,NA,16,18,34
"3950","2014-2015","878120","Bright Horizons Montessori School","Elementary",10,5,NA,NA,10,5,15
"3951","2014-2015","667926","Bright Start Academy  JR","Elementary",10,5,NA,NA,10,5,15
"3952","2014-2015","667145","Brighton","Elem/Sec",24,10,18,5,42,NA,57
"3953","2014-2015","669584","Bronston Canadian Academy","Elem/Sec",5,5,17,39,NA,NA,66
"3954","2014-2015","875112","Bronte College","Secondary",NA,NA,220,204,220,204,424
"3955","2014-2015","885945","Bronte College - Mississauga","Elementary",51,33,NA,NA,51,33,84
"3956","2014-2015","889784","Brooke Valley School","Elementary",5,5,NA,NA,5,5,10
"3957","2014-2015","666831","Brooklin Mill Montessori School Inc","Elementary",34,38,NA,NA,34,38,72
"3958","2014-2015","668564","Brooklyn College","Secondary",NA,NA,83,55,83,55,138
"3959","2014-2015","883107","Brookside Christian School","Elem/Sec",28,34,5,5,NA,NA,72
"3960","2014-2015","888168","Brookside Parochial School","Elementary",15,21,NA,NA,15,21,36
"3961","2014-2015","665400","Brussels Old Colony Christian School","Elem/Sec",15,29,NA,5,15,NA,49
"3962","2014-2015","889040","Burlington Christian Academy","Elementary",89,69,NA,NA,89,69,158
"3963","2014-2015","667951","Byron Woods Montessori","Elementary",23,15,NA,NA,23,15,38
